,t,x_0,x_1,x_2,x_des_0,x_des_1,x_des_2
1019,5.095,-0.0022690368609902755,0.10064956028581613,0.016713172159984902,0.0041573520858682045,0.1,0.0
1020,5.1000000000000005,-0.0029352514799882486,0.10065698104542266,0.016890862276523717,0.003731159563428843,0.1,0.0
1021,5.105,-0.0035764044477165835,0.10066418790895587,0.01709561360531141,0.0033343999999999596,0.1,0.0
1022,5.11,-0.004195601526302384,0.10067046388885326,0.017313244222297526,0.00296630745952986,0.1,0.0
1023,5.115,-0.004795409974570379,0.10067577360985938,0.01752884620969583,0.002626056316883618,0.1,0.0
1024,5.12,-0.005378593775564007,0.10068075453319053,0.01774040224119988,0.0023127640473599165,0.1,0.0
1025,5.125,-0.005946041066038573,0.10068546237348412,0.017940655672739877,0.00202549428759613,0.1,0.0
1026,5.13,-0.006495264810621555,0.10068926784526665,0.018094886686427086,0.0017632601737538334,0.1,0.0
1027,5.135,-0.007019735513603551,0.10069204333331606,0.018249756389610086,0.001525027962879788,0.1,0.0
1028,5.14,-0.007518267212129803,0.10069456192936697,0.018437464667423253,0.0013097209433519108,0.1,0.0
1029,5.1450000000000005,-0.007993039707963282,0.10069766764450994,0.01864100018462082,0.001116223640302838,0.1,0.0
1030,5.15,-0.008450349216911637,0.10070133575828363,0.0188452979659193,0.0009433863219201477,0.1,0.0
1031,5.155,-0.008893898252199052,0.100705005289683,0.01899906660926647,0.0007900298125278482,0.1,0.0
1032,5.16,-0.009315994583507368,0.10070805383889203,0.01910331479496924,0.000654950618350636,0.1,0.0
1033,5.165,-0.009709512933903592,0.1007106176427603,0.019188716622515006,0.0005369263718395523,0.1,0.0
1034,5.17,-0.010071796458228265,0.10071284797402882,0.019273233094973804,0.0004347216004996213,0.1,0.0
1035,5.175,-0.01040380491668505,0.10071401129993558,0.019387379640040153,0.0003470938260705658,0.1,0.0
1036,5.18,-0.010711412093436169,0.10071428251710848,0.01949357727079633,0.00027279999999985094,0.1,0.0
1037,5.1850000000000005,-0.010995868012853904,0.10071383177439791,0.019574214490543692,0.00021060328108468696,0.1,0.0
1038,5.19,-0.011254046277734225,0.10071211582745304,0.019652097711312995,0.00015928016119426402,0.1,0.0
1039,5.195,-0.011486887601179992,0.1007087355202508,0.019739179083336226,0.00011762794496039675,0.1,0.0
1040,5.2,-0.011697391561132357,0.10070409239248539,0.019851972394290138,8.447258934873858e-05,0.1,0.0
1041,5.205,-0.011889283174787282,0.10069864754712383,0.01994604035060312,5.8676909007626676e-05,0.1,0.0
1042,5.21,-0.012062624824575121,0.10069224835008159,0.02001494658506081,3.9149153279627313e-05,0.1,0.0
1043,5.215,-0.012216360820688091,0.10068464341140818,0.02008159537995074,2.4851960799043837e-05,0.1,0.0
1044,5.22,-0.012351904435209216,0.10067580746217092,0.020161994164795728,1.481169755113143e-05,0.1,0.0
1045,5.2250000000000005,-0.012469962166685096,0.10066646334541075,0.02028353022577288,8.12818431983331e-06,0.1,0.0
1046,5.23,-0.012573507229155408,0.10065731758166825,0.02041583107554446,3.984819387348182e-06,0.1,0.0
1047,5.235,-0.01266616402901236,0.10064829805294845,0.020536950307774537,1.659102421669445e-06,0.1,0.0
1048,5.24,-0.012749555047783006,0.1006393330003463,0.020630469830592853,5.335654389426736e-07,0.1,0.0
1049,5.245,-0.012822470446458864,0.10063089624260765,0.020717745554276953,1.0711671016849778e-07,0.1,0.0
1050,5.25,-0.01288538295018042,0.10062311024566437,0.02080706605102531,6.8035763689522355e-09,0.1,0.0
1051,5.255,-0.012940536873022341,0.10061573600822145,0.020858215734028133,0.0,0.09999999999999565,0.0
1052,5.26,-0.012987443468251057,0.10060857016019217,0.020908728744270258,0.0,0.0999999931964193,0.0
1053,5.265,-0.013024066688387927,0.1006005011199923,0.021006288848530497,0.0,0.09999989288328404,0.0
1054,5.2700000000000005,-0.013051253949246897,0.10059056947245983,0.02110904716590679,0.0,0.09999946643455565,0.0
1055,5.275,-0.013071756446969908,0.10057895193645026,0.021196984532307783,0.0,0.0999983408975718,0.0
1056,5.28,-0.013086014464175528,0.10056651718008128,0.021295050247077466,0.0,0.09999601518060836,0.0
1057,5.285,-0.013094639347684517,0.100554155381578,0.021393154049892338,0.0,0.09999187181567565,0.0
1058,5.29,-0.013098733218078019,0.10054176774069129,0.021492731981770888,0.0,0.0999851883024438,0.0
1059,5.295,-0.013099083547624384,0.10052852375609829,0.02157013863448012,0.0,0.0999751480391969,0.0
