,t,x_0,x_1,x_2,x_des_0,x_des_1,x_des_2
89,0.445,0.07447664271449764,-0.0003754068574121265,-0.012730053934546787,0.06839893514606246,0.0,0.0
90,0.45,0.07573904260438605,-0.0003828354268714077,-0.012772615561917278,0.06972000902466952,0.0,0.0
91,0.455,0.07697553198919223,-0.0003909995080822525,-0.012817077988176382,0.0710208000000011,0.0,0.0
92,0.46,0.0781840190252422,-0.00039879411511660473,-0.01285700237897893,0.0723000908466917,0.0,0.0
93,0.465,0.07936512667237838,-0.00040723619140746345,-0.012907283813519386,0.07355671078388631,0.0,0.0
94,0.47000000000000003,0.0805183708475976,-0.0004172311705067045,-0.01295919684510749,0.07478953808384092,0.0,0.0
95,0.47500000000000003,0.08164125816016334,-0.0004276563045279178,-0.01300825651384325,0.07599750258613186,0.0,0.0
96,0.48,0.08273215355152573,-0.000437443064639875,-0.013061427081433407,0.07717958811156928,0.0,0.0
97,0.485,0.08379058708729845,-0.0004476837202909263,-0.013114603177850286,0.07833483476992087,0.0,0.0
98,0.49,0.0848163091921611,-0.0004591393218491624,-0.013173288500896977,0.07946234115554124,0.0,0.0
99,0.495,0.08580710573727625,-0.0004706174877978399,-0.013238173222767262,0.08056126642501027,0.0,0.0
100,0.5,0.08676141146382979,-0.0004809510396330526,-0.013319409898265753,0.08163083225088075,0.0,0.0
101,0.505,0.08767787191233409,-0.0004911935482463789,-0.013399361148984722,0.08267032464563417,0.0,0.0
102,0.51,0.08855633120211445,-0.0005021891018158456,-0.013464198988152445,0.0836790956499458,0.0,0.0
103,0.515,0.08939694058615923,-0.0005126306393970724,-0.013528597308350137,0.08465656487936102,0.0,0.0
104,0.52,0.09019922878557353,-0.0005212551279661113,-0.01359088847343621,0.08560222092348013,0.0,0.0
105,0.525,0.09096462569463284,-0.0005289540930082486,-0.013661326927681869,0.08651562259175616,0.0,0.0
106,0.53,0.09169333975818234,-0.0005366663904801474,-0.013742017041135765,0.0873964000000006,0.0,0.0
